Name,Symbol,Holding,Code
AXIATA GROUP BERHADAXIATA GROUP BERHAD,AXIA.KL,10,6888.KL
CIMB GROUP HOLDINGS BERHADCIMB GROUP HOLDINGS BERHAD,CIMB.KL,11,1023.KL
DIALOG GROUP BHDDIALOG GROUP BHD,DIAL.KL,12,7277.KL
DIGI.COM BHDDIGI.COM BHD,DSOM.KL,13,6947.KL
GENTING BHDGENTING BHD,GENT.KL,14,3182.KL
GENTING MALAYSIA BERHADGENTING MALAYSIA BERHAD,GENM.KL,15,4715.KL
HAP SENG CONSOLIDATED BHDHAP SENG CONSOLIDATED BHD,HAPS.KL,16,3034.KL
HARTALEGA HOLDINGS BHDHARTALEGA HOLDINGS BHD,HTHB.KL,17,5168.KL
HONG LEONG BANK BHDHONG LEONG BANK BHD,HLBB.KL,18,5819.KL
HONG LEONG FINANCIAL GROUP BHDHONG LEONG FINANCIAL GROUP BHD,HLCB.KL,19,1082.KL
IHH HEALTHCARE BERHADIHH HEALTHCARE BERHAD,IHHH.KL,20,5225.KL
IOI CORPORATION BHDIOI CORPORATION BHD,IOIB.KL,21,1961.KL
KUALA LUMPUR KEPONG BHDKUALA LUMPUR KEPONG BHD,KLKK.KL,22,2445.KL
MALAYAN BANKING BHDMALAYAN BANKING BHD,MBBM.KL,23,1155.KL
MAXIS BERHADMAXIS BERHAD,MXSC.KL,24,6012.KL
MISC BHD,MISC.KL,25,3816.KL
NESTLE (M) BHD,NESM.KL,26,4707.KL
PETRONAS CHEMICALS GROUP BHD,PCGB.KL,27,5183.KL
PETRONAS DAGANGAN BHD,PETR.KL,28,5681.KL
PETRONAS GAS BHD,PGAS.KL,29,6033.KL
PPB GROUP BHD,PEPT.KL,30,4065.KL
PRESS METAL ALUMINIUM HOLDINGS BERHAD,PMET.KL,31,8869.KL
PUBLIC BANK BHD,PUBM.KL,32,1295.KL
RHB BANK BERHAD,RHBC.KL,33,1066.KL
SIME DARBY BHD,SIME.KL,34,4197.KL
SIME DARBY PLANTATION BERHAD,SIPL.KL,35,5285.KL
SUPERMAX CORPORATION BHD,SUPM.KL,36,7106.KL
TELEKOM MALAYSIA BHD,TLMM.KL,37,4863.KL
TENAGA NASIONAL BHD,TENA.KL,38,5347.KL
TOP GLOVE CORPORATION BHD,TPGC.KL,39,7113.KL
AEON CREDIT SERVICE (M) BHDAEON CREDIT SERVICE (M) BHDAEON CREDIT SERVICE (M) BHDAEON CREDIT SERVICE (M) BHDAEON CREDIT SERVICE (M) BHD,ANCR.KL,40,5139.KL
AIRASIA GROUP BERHADAIRASIA GROUP BERHADAIRASIA GROUP BERHADAIRASIA GROUP BERHADAIRASIA GROUP BERHAD,AIRA.KL,41,5099.KL
ALLIANCE BANK MALAYSIA BERHADALLIANCE BANK MALAYSIA BERHADALLIANCE BANK MALAYSIA BERHADALLIANCE BANK MALAYSIA BERHADALLIANCE BANK MALAYSIA BERHAD,ALLI.KL,42,2488.KL
AMMB HOLDINGS BHDAMMB HOLDINGS BHDAMMB HOLDINGS BHDAMMB HOLDINGS BHDAMMB HOLDINGS BHD,AMMB.KL,43,1015.KL
ASTRO MALAYSIA HOLDINGS BERHADASTRO MALAYSIA HOLDINGS BERHADASTRO MALAYSIA HOLDINGS BERHADASTRO MALAYSIA HOLDINGS BERHADASTRO MALAYSIA HOLDINGS BERHAD,ASTR.KL,44,6399.KL
ATA IMS BERHADATA IMS BERHADATA IMS BERHADATA IMS BERHADATA IMS BERHAD,ATAI.KL,45,8176.KL
AXIS REITSAXIS REITSAXIS REITSAXIS REITSAXIS REITS,AXSR.KL,46,5106.KL
BERJAYA SPORTS TOTO BHDBERJAYA SPORTS TOTO BHDBERJAYA SPORTS TOTO BHDBERJAYA SPORTS TOTO BHDBERJAYA SPORTS TOTO BHD,BSTB.KL,47,1562.KL
