Name,Symbol,Holding,Code
AVEVA GROUP PLC ORD 3 5/9P,AVV,1000,AVV.L
GLAXOSMITHKLINE PLC ORD 25P,GSK,1,GSK.L
PENNON GROUP PLC ORD 40.7P,PNN,1,PNN.L
UNILEVER PLC ORD 3 1/9P,ULVR,1,ULVR.L
PERSIMMON PLC ORD 10P,PSN,1,PSN.L
NEXT PLC ORD 10P,NXT,1,NXT.L
AVAST PLC ORD 10P,AVST,1,AVST.L
ASTRAZENECA PLC ORD SHS $0.25,AZN,1,AZN.L
FLUTTER ENTERTAINMENT PLC ORD EUR0.09,FLTR,1,FLTR.L
NATIONAL GRID PLC ORD 12 204/473P,NG.,1,NG..L
UNITED UTILITIES GROUP PLC ORD 5P,UU.,1,UU..L
SEVERN TRENT PLC ORD 97 17/19P,SVT,1,SVT.L
TESCO PLC ORD 5P,TSCO,1,TSCO.L
INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),IAG,1,IAG.L
SAGE GROUP PLC ORD 1 4/77P,SGE,1,SGE.L
BARRATT DEVELOPMENTS PLC ORD 10P,BDEV,1,BDEV.L
DCC PLC ORD EUR0.25,DCC,1,DCC.L
PRUDENTIAL PLC ORD 5P,PRU,1,PRU.L
RSA INSURANCE GROUP PLC ORD GBP1.00,RSA,1,RSA.L
WPP PLC ORD 10P,WPP,1,WPP.L
RELX PLC ORD 14 51/116P,REL,1,REL.L
HALMA PLC ORD 10P,HLMA,1,HLMA.L
PEARSON PLC ORD 25P,PSON,1,PSON.L
SCOTTISH MORTGAGE INV TST PLC ORD 5P,SMT,1,SMT.L
BERKELEY GROUP HOLDINGS (THE) PLC ORD SHS 5P,BKG,1,BKG.L
ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,ABF,1,ABF.L
BT GROUP PLC ORD 5P,BT.A,1,BT.A.L
ENTAIN PLC ORD EUR0.01,ENT,1,ENT.L
CRH PLC ORD EUR 0.32,CRH,1,CRH.L
BRITISH AMERICAN TOBACCO PLC ORD 25P,BATS,1,BATS.L
IMPERIAL BRANDS PLC ORD 10P,IMB,1,IMB.L
INTERTEK GROUP PLC ORD 1P,ITRK,1,ITRK.L
ASHTEAD GROUP PLC ORD 10P,AHT,1,AHT.L
RIGHTMOVE PLC ORD 0.1P,RMV,1,RMV.L
SEGRO PLC ORD 10P,SGRO,1,SGRO.L
AVIVA PLC ORD 25P,AV.,1,AV..L
SSE PLC ORD 50P,SSE,1,SSE.L
SMITH & NEPHEW PLC ORD USD0.20,SN.,1,SN..L
FERGUSON PLC ORD 10P,FERG,1,FERG.L
ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,RR.,1,RR..L
WHITBREAD PLC ORD 76 122/153P,WTB,1,WTB.L
PERSHING SQUARE HOLDINGS LTD ORD NPV,PSH,1,PSH.L
DIAGEO PLC ORD 28 101/108P,DGE,1,DGE.L
BUNZL PLC ORD 32 1/7P,BNZL,1,BNZL.L
RECKITT BENCKISER GROUP PLC ORD 10P,RB.,1,RB..L
SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,SPX,1,SPX.L
TAYLOR WIMPEY PLC ORD 1P,TW.,1,TW..L
INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,IHG,1,IHG.L
BURBERRY GROUP PLC ORD 0.05P,BRBY,1,BRBY.L
ADMIRAL GROUP PLC ORD 0.1P,ADM,1,ADM.L
EXPERIAN PLC ORD USD0.10,EXPN,1,EXPN.L
SCHRODERS PLC VTG SHS ﾣ1,SDR,1,SDR.L
LAND SECURITIES GROUP PLC ORD 10 2/3P,LAND,1,LAND.L
INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,ICP,1,ICP.L
BRITISH LAND CO PLC ORD 25P,BLND,1,BLND.L
STANDARD LIFE ABERDEEN PLC ORD 13 61/63P,SLA,1,SLA.L
INFORMA PLC ORD 0.1P,INF,1,INF.L
CRODA INTERNATIONAL PLC ORD 10.609756P,CRDA,1,CRDA.L
BAE SYSTEMS PLC ORD 2.5P,BA.,1,BA..L
HSBC HLDGS PLC ORD $0.50 (UK REG),HSBA,1,HSBA.L
RENTOKIL INITIAL PLC ORD 1P,RTO,1,RTO.L
COCA-COLA HBC AG ORD CHF6.70 (CDI),CCH,1,CCH.L
HARGREAVES LANSDOWN PLC ORD 0.4P,HL.,1,HL..L
VODAFONE GROUP PLC ORD USD0.20 20/21,VOD,1,VOD.L
ROYAL DUTCH SHELL PLC 'A' ORD EUR0.07,RDSA,1,RDSA.L
JOHNSON MATTHEY PLC ORD 110 49/53P,JMAT,1,JMAT.L
LLOYDS BANKING GROUP PLC ORD 10P,LLOY,1,LLOY.L
MORRISON(WM.)SUPERMARKETS PLC ORD 10P,MRW,1,MRW.L
NATWEST GROUP PLC ORD 100P,NWG,1,NWG.L
M&G PLC ORD ﾣ0.05,MNG,1,MNG.L
ROYAL DUTCH SHELL PLC 'B' ORD EUR0.07,RDSB,1,RDSB.L
3I GROUP PLC ORD 73 19/22P,III,1,III.L
STANDARD CHARTERED PLC ORD USD0.50,STAN,1,STAN.L
GLENCORE PLC ORD USD0.01,GLEN,1,GLEN.L
EVRAZ PLC ORD USD0.05,EVR,1,EVR.L
SAINSBURY(J) PLC ORD 28 4/7P,SBRY,1,SBRY.L
